municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Vellón (El);7;6;10;10;8;11;12;12;10
Venturada;16;14;13;19;34;33;27;34;36
Villa del Prado;35;26;28;29;30;30;27;32;30
Villaconejos;38;37;35;37;37;40;44;46;47
Villalbilla;107;113;113;110;118;118;116;128;128
Villamanrique de Tajo;0;0;0;0;0;3;4;6;5
Villamanta;15;14;14;14;19;19;15;14;15
Villamantilla;5;6;8;6;9;12;15;14;12
Villanueva de Perales;18;18;19;19;16;16;17;20;18
Villanueva de la Cañada;57;54;58;58;53;56;62;65;71
Villanueva del Pardillo;50;46;48;47;50;50;50;60;62
Villar del Olmo;27;34;30;31;35;41;42;43;37
Villarejo de Salvanés;32;32;29;30;25;28;29;37;37
Villaviciosa de Odón;141;143;142;145;151;153;147;143;146
Villavieja del Lozoya;0;0;0;0;0;0;0;0;0
Zarzalejo;2;1;1;1;1;2;3;3;3
