municipio_nombre;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Pozuelo de Alarcón;29210;33556;31944;33430;34674;36862;42216;45176;42801;43031;46026;44475;43925;45595;45985
Pozuelo del Rey;17;18;35;23;19;24;22;26;26;26;26;26;25;30;30
Prádena del Rincón;-;-;-;-;-;-;-;-;-;-;-;-;0;0;5
Puebla de la Sierra;-;-;-;-;-;-;-;-;-;-;-;-;0;5;5
Puentes Viejas;13;7;5;-;-;-;-;-;-;-;6;5;5;10;10
Quijorna;32;32;44;41;44;42;43;58;44;54;53;52;60;55;60
Rascafría;8;15;11;11;15;21;13;27;17;22;27;28;30;25;30
Redueña;5;5;5;7;7;7;8;8;6;5;7;8;5;5;5
Ribatejada;5;8;7;6;6;6;7;9;8;11;11;13;15;15;20
Rivas-Vaciamadrid;4045;4274;4256;4205;3488;4348;4762;5124;5523;5806;5834;6388;6710;6965;6840
Robledillo de la Jara;-;-;-;-;-;-;-;-;-;-;-;-;5;5;0
Robledo de Chavela;61;63;56;50;62;63;69;63;65;75;71;80;85;85;90
Robregordo;-;-;-;-;-;-;-;-;-;-;-;-;5;0;0
Rozas de Madrid (Las);22170;20025;20052;20609;23347;24002;25738;29063;28798;28806;23974;20053;19915;21355;23400
Rozas de Puerto Real;-;-;-;-;-;-;5;27;37;24;33;23;25;5;5
San Agustín del Guadalix;560;434;590;664;726;696;628;627;630;638;680;706;705;715;695
San Fernando de Henares;4587;4454;4425;6060;5661;5038;5290;6384;6440;6626;6697;6183;4385;4230;4835
San Lorenzo de El Escorial;472;505;569;515;503;545;613;592;599;626;598;595;600;615;610
San Martín de Valdeiglesias;136;134;132;126;129;137;152;148;170;184;185;197;200;215;205
San Martín de la Vega;619;643;607;586;674;640;565;529;413;420;397;425;415;430;415
San Sebastián de los Reyes;13185;14166;14601;14470;13429;13878;14261;10778;12205;12233;12948;13105;13110;14310;16260
Santa María de la Alameda;14;11;13;10;12;16;12;15;14;17;18;17;15;25;25
Santorcaz;-;-;-;-;5;6;5;6;5;6;7;5;5;10;5
Santos de la Humosa (Los);17;22;20;18;21;23;28;28;36;37;35;26;25;30;30
Serna del Monte (La);-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Serranillos del Valle;87;104;112;117;97;96;94;85;97;232;341;125;140;160;165
Sevilla la Nueva;308;269;320;255;292;301;301;288;293;296;278;279;275;275;245
Somosierra;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Soto del Real;218;203;227;244;275;271;284;295;317;339;318;315;315;295;295
Talamanca de Jarama;36;42;43;43;46;39;47;46;50;51;58;60;75;100;115
Tielmes;18;15;15;18;17;23;23;21;29;30;30;34;35;30;30
Titulcia;7;19;28;35;9;10;12;14;13;14;16;14;10;15;10
Torrejón de Ardoz;4526;4318;4207;3932;3935;3937;4413;4556;5320;4927;5109;5321;5485;5760;5935
Torrejón de Velasco;89;124;95;102;59;57;63;73;66;66;76;68;45;45;50
Torrejón de la Calzada;190;202;209;181;224;230;223;268;253;305;347;357;350;290;325
Torrelaguna;94;103;88;113;69;71;75;78;81;79;73;71;90;85;85
Torrelodones;1137;1182;1118;1115;1119;1224;1254;1282;1379;1479;1597;1526;1675;1675;1535
Torremocha de Jarama;82;33;18;10;10;11;13;13;12;12;13;13;10;10;15
Torres de la Alameda;129;123;124;125;114;133;131;115;115;113;141;143;145;145;155
Tres Cantos;14187;15176;13339;13816;12994;13603;14651;15754;17721;18935;19328;19297;20345;21215;20860
